Address,Type,Sorce,届出番号など,住宅宿泊施設名,Address Data
大田区大森北六丁目３番22号１階２号室,特区民泊,大森北六丁目３番22号１階２号室,26 Heiwajima guesthouse ,,大田区大森北六丁目３番22号１階２号室
大田区大森北六丁目15番８号,特区民泊,大森北六丁目15番８号,27 平和島ハウス,,大田区大森北六丁目15番８号
大田区大森北六丁目30番16－201号,特区民泊,大森北六丁目30番16－201号,28 平和アパートメント,,大田区大森北六丁目30番16－201号
大田区大森本町二丁目４番10－101・201～203・301～303・401～403号,特区民泊,大森本町二丁目４番10－101・201～203・301～303・401～403号,29 VACATION INN HEIWAJIMA Ⅰ(バケーション・イン平和島Ⅰ）,,大田区大森本町二丁目４番10－101・201～203・301～303・401～403号
大田区大森本町二丁目７番20－202号,特区民泊,大森本町二丁目７番20－202号,30 グレース平和島,,大田区大森本町二丁目７番20－202号
大田区山王一丁目１番８－206・304号,特区民泊,山王一丁目１番８－206・304号,31 山王濱栖鳳,,大田区山王一丁目１番８－206・304号
大田区山王三丁目３番４－１A・１B・２A・２B・２D・３A・３B・３D・４A・４B・4D・５A・５B・５D号,特区民泊,山王三丁目３番４－１A・１B・２A・２B・２D・３A・３B・３D・４A・４B・4D・５A・５B・５D号,32 THE　AOCA　TOKYO　山王,,大田区山王三丁目３番４－１A・１B・２A・２B・２D・３A・３B・３D・４A・４B・4D・５A・５B・５D号
大田区東馬込一丁目12番12号,特区民泊,東馬込一丁目12番12号,33 ＫＯＭＩＮＫＡ ,,大田区東馬込一丁目12番12号
大田区東馬込一丁目33番16号,特区民泊,東馬込一丁目33番16号,34 コンバーテル東馬込,,大田区東馬込一丁目33番16号
大田区南馬込二丁目９番11号（１階・２階）,特区民泊,南馬込二丁目９番11号（１階・２階）,35 大福ハウス,,大田区南馬込二丁目９番11号（１階・２階）
大田区南馬込五丁目31番10号（１階）,特区民泊,南馬込五丁目31番10号（１階）,36 Terminal A01 ,,大田区南馬込五丁目31番10号（１階）
大田区北馬込二丁目25番４号（１階）,特区民泊,北馬込二丁目25番４号（１階）,37 茨田民泊,,大田区北馬込二丁目25番４号（１階）
大田区池上二丁目15番４－101～103・201～203・205・301～303・305号,特区民泊,池上二丁目15番４－101～103・201～203・205・301～303・305号,38 M-1 Tokyo 池上,,大田区池上二丁目15番４－101～103・201～203・205・301～303・305号
大田区池上三丁目20番２－201～203・301～303・401～403・503・601～603号,特区民泊,池上三丁目20番２－201～203・301～303・401～403・503・601～603号,39 C'est joli IKEGAMI（セジョリ池上）,,大田区池上三丁目20番２－201～203・301～303・401～403・503・601～603号
大田区池上三丁目35番４－101・102・201～206・301～306号,特区民泊,池上三丁目35番４－101・102・201～206・301～306号,40 ジェノビア池上スカイガーデン,,大田区池上三丁目35番４－101・102・201～206・301～306号
大田区池上五丁目３番５号,特区民泊,池上五丁目３番５号,41 池上の家,,大田区池上五丁目３番５号
大田区池上六丁目42番６号,特区民泊,池上六丁目42番６号,42 ゼウス池上,,大田区池上六丁目42番６号
大田区北嶺町32番17－103・202号,特区民泊,北嶺町32番17－103・202号,43 ソフィアステージ御嶽山,,大田区北嶺町32番17－103・202号
大田区田園調布南２番11号（2階）,特区民泊,田園調布南２番11号（2階）,44 Balian Rose ,,大田区田園調布南２番11号（2階）
大田区田園調布南18番18－206・301号,特区民泊,田園調布南18番18－206・301号,45 田園調布南ビル206、301号室,,大田区田園調布南18番18－206・301号
大田区鵜の木三丁目34番16－101・102・105～107・201～203・205～207・301～303・305～307号,特区民泊,鵜の木三丁目34番16－101・102・105～107・201～203・205～207・301～303・305～307号,46 M‐1 Tokyo 鵜の木,,大田区鵜の木三丁目34番16－101・102・105～107・201～203・205～207・301～303・305～307号
